timestamp,safety_switch_available,safety_off,override_available,override_enabled
340429783,1,1,0,0
340449950,1,1,0,0
340469940,1,1,0,0
340494088,1,1,0,0
340517899,1,1,0,0
340541771,1,1,0,0
340566108,1,1,0,0
340585786,1,1,0,0
340605889,1,1,0,0
340629907,1,1,0,0
340653798,1,1,0,0
340674147,1,1,0,0
340693919,1,1,0,0
340714067,1,1,0,0
340737941,1,1,0,0
340762065,1,1,0,0
340785732,1,1,0,0
340810068,1,1,0,0
340834046,1,1,0,0
340857740,1,1,0,0
340877787,1,1,0,0
340901778,1,1,0,0
340921818,1,1,0,0
340941930,1,1,0,0
340965775,1,1,0,0
340989931,1,1,0,0
341009931,1,1,0,0
341030247,1,1,0,0
341053786,1,1,0,0
341073932,1,1,0,0
341093921,1,1,0,0
341117916,1,1,0,0
341138610,1,1,0,0
341162737,1,1,0,0
341186544,1,1,0,0
341206552,1,1,0,0
341230756,1,1,0,0
341254594,1,1,0,0
341274761,1,1,0,0
341298635,1,1,0,0
341322892,1,1,0,0
341342727,1,1,0,0
341366738,1,1,0,0
341390951,1,1,0,0
341414564,1,1,0,0
341434583,1,1,0,0
341454585,1,1,0,0
341474695,1,1,0,0
341498564,1,1,0,0
341522707,1,1,0,0
341546611,1,1,0,0
341566570,1,1,0,0
341590555,1,1,0,0
341610862,1,1,0,0
341634620,1,1,0,0
341654641,1,1,0,0
341678717,1,1,0,0
341699070,1,1,0,0
341722722,1,1,0,0
341746559,1,1,0,0
341770595,1,1,0,0
341794585,1,1,0,0
341818570,1,1,0,0
341842567,1,1,0,0
341863122,1,1,0,0
341886534,1,1,0,0
341906858,1,1,0,0
341926573,1,1,0,0
341946737,1,1,0,0
341970887,1,1,0,0
341990856,1,1,0,0
342014615,1,1,0,0
342038745,1,1,0,0
342058748,1,1,0,0
342079114,1,1,0,0
342102731,1,1,0,0
342126582,1,1,0,0
342146730,1,1,0,0
342170537,1,1,0,0
342194731,1,1,0,0
342219132,1,1,0,0
342238732,1,1,0,0
342259061,1,1,0,0
342282575,1,1,0,0
342302575,1,1,0,0
342322598,1,1,0,0
342346800,1,1,0,0
342371069,1,1,0,0
342394834,1,1,0,0
342418731,1,1,0,0
342439113,1,1,0,0
342458735,1,1,0,0
342482611,1,1,0,0
342502576,1,1,0,0
342522721,1,1,0,0
342546876,1,1,0,0
342570736,1,1,0,0
342594723,1,1,0,0
342619061,1,1,0,0
342638745,1,1,0,0
342662575,1,1,0,0
342686615,1,1,0,0
342706699,1,1,0,0
342730736,1,1,0,0
342754544,1,1,0,0
342774551,1,1,0,0
342794731,1,1,0,0
342818743,1,1,0,0
342842685,1,1,0,0
342866573,1,1,0,0
342890900,1,1,0,0
342910577,1,1,0,0
342930573,1,1,0,0
342950567,1,1,0,0
342970579,1,1,0,0
342995050,1,1,0,0
343018585,1,1,0,0
343038726,1,1,0,0
343062677,1,1,0,0
343086856,1,1,0,0
343106604,1,1,0,0
343130582,1,1,0,0
343150568,1,1,0,0
343170736,1,1,0,0
343195171,1,1,0,0
343218725,1,1,0,0
343242750,1,1,0,0
343266882,1,1,0,0
343286554,1,1,0,0
343310549,1,1,0,0
343334542,1,1,0,0
343358737,1,1,0,0
343378889,1,1,0,0
343402585,1,1,0,0
343422605,1,1,0,0
343442734,1,1,0,0
343466602,1,1,0,0
343486719,1,1,0,0
343510867,1,1,0,0
343530532,1,1,0,0
343550587,1,1,0,0
343570571,1,1,0,0
343590887,1,1,0,0
343610591,1,1,0,0
343634595,1,1,0,0
343654603,1,1,0,0
343678893,1,1,0,0
343702578,1,1,0,0
343722576,1,1,0,0
343742735,1,1,0,0
343766859,1,1,0,0
343786616,1,1,0,0
343810572,1,1,0,0
343834601,1,1,0,0
343858599,1,1,0,0
343879096,1,1,0,0
343898885,1,1,0,0
343922620,1,1,0,0
343946940,1,1,0,0
343970898,1,1,0,0
343990593,1,1,0,0
344010623,1,1,0,0
344030623,1,1,0,0
344054586,1,1,0,0
344078730,1,1,0,0
344102534,1,1,0,0
344126886,1,1,0,0
344146572,1,1,0,0
344170757,1,1,0,0
344194745,1,1,0,0
344218643,1,1,0,0
344238898,1,1,0,0
344263419,1,1,0,0
344287358,1,1,0,0
344307396,1,1,0,0
344331646,1,1,0,0
344351381,1,1,0,0
344371537,1,1,0,0
344395365,1,1,0,0
344415382,1,1,0,0
344439583,1,1,0,0
344459534,1,1,0,0
344483365,1,1,0,0
344507398,1,1,0,0
344527688,1,1,0,0
344547587,1,1,0,0
344571557,1,1,0,0
344595530,1,1,0,0
344615533,1,1,0,0
344639536,1,1,0,0
344663394,1,1,0,0
344687367,1,1,0,0
344711421,1,1,0,0
344731438,1,1,0,0
344751524,1,1,0,0
344771539,1,1,0,0
344795370,1,1,0,0
344819561,1,1,0,0
344843555,1,1,0,0
344867405,1,1,0,0
344887716,1,1,0,0
344911558,1,1,0,0
344931566,1,1,0,0
344951553,1,1,0,0
344971729,1,1,0,0
344995669,1,1,0,0
345015416,1,1,0,0
345035546,1,1,0,0
345059931,1,1,0,0
345083367,1,1,0,0
345107421,1,1,0,0
345127434,1,1,0,0
345151384,1,1,0,0
345171552,1,1,0,0
345195560,1,1,0,0
345219561,1,1,0,0
345243521,1,1,0,0
345267667,1,1,0,0
345287554,1,1,0,0
345311507,1,1,0,0
345335370,1,1,0,0
345359499,1,1,0,0
345379512,1,1,0,0
345399513,1,1,0,0
345423666,1,1,0,0
345443453,1,1,0,0
345643745,1,1,0,0
345667410,1,1,0,0
345691332,1,1,0,0
345715649,1,1,0,0
345735658,1,1,0,0
345755387,1,1,0,0
345779571,1,1,0,0
345799580,1,1,0,0
345819568,1,1,0,0
345839885,1,1,0,0
345863342,1,1,0,0
345883368,1,1,0,0
345903530,1,1,0,0
345927380,1,1,0,0
345951422,1,1,0,0
345975584,1,1,0,0
345999539,1,1,0,0
346023411,1,1,0,0
346043411,1,1,0,0
346063421,1,1,0,0
346087368,1,1,0,0
346107387,1,1,0,0
346127380,1,1,0,0
346151541,1,1,0,0
346171698,1,1,0,0
346195400,1,1,0,0
346219920,1,1,0,0
346239539,1,1,0,0
346263339,1,1,0,0
346287405,1,1,0,0
346307374,1,1,0,0
346331589,1,1,0,0
346355393,1,1,0,0
346375414,1,1,0,0
346395569,1,1,0,0
346419557,1,1,0,0
346439566,1,1,0,0
346463378,1,1,0,0
346483378,1,1,0,0
346503396,1,1,0,0
346523407,1,1,0,0
346543887,1,1,0,0
346567549,1,1,0,0
346587437,1,1,0,0
346611524,1,1,0,0
346631508,1,1,0,0
346651721,1,1,0,0
346671565,1,1,0,0
346691675,1,1,0,0
346715515,1,1,0,0
346739502,1,1,0,0
346763408,1,1,0,0
346783376,1,1,0,0
346807336,1,1,0,0
346831971,1,1,0,0
346851500,1,1,0,0
346871679,1,1,0,0
346895357,1,1,0,0
346915338,1,1,0,0
346939764,1,1,0,0
346959546,1,1,0,0
346983614,1,1,0,0
347007351,1,1,0,0
347027520,1,1,0,0
347051540,1,1,0,0
347071576,1,1,0,0
347095332,1,1,0,0
347119759,1,1,0,0
347139545,1,1,0,0
347159561,1,1,0,0
347183369,1,1,0,0
347203515,1,1,0,0
347223402,1,1,0,0
347243521,1,1,0,0
347267525,1,1,0,0
347291539,1,1,0,0
347315421,1,1,0,0
347339669,1,1,0,0
347363396,1,1,0,0
347383419,1,1,0,0
347407703,1,1,0,0
347431527,1,1,0,0
347451531,1,1,0,0
347471667,1,1,0,0
347495547,1,1,0,0
347515708,1,1,0,0
347539419,1,1,0,0
347559853,1,1,0,0
347579528,1,1,0,0
347603376,1,1,0,0
347627382,1,1,0,0
347651536,1,1,0,0
347675343,1,1,0,0
347699542,1,1,0,0
347719521,1,1,0,0
347743600,1,1,0,0
347767923,1,1,0,0
347787535,1,1,0,0
347808186,1,1,0,0
347828188,1,1,0,0
347848243,1,1,0,0
347868284,1,1,0,0
347888290,1,1,0,0
347912489,1,1,0,0
347936183,1,1,0,0
347956150,1,1,0,0
347976592,1,1,0,0
348000360,1,1,0,0
348024180,1,1,0,0
348048345,1,1,0,0
348072256,1,1,0,0
348096188,1,1,0,0
348120333,1,1,0,0
348144145,1,1,0,0
348164467,1,1,0,0
348184243,1,1,0,0
348204334,1,1,0,0
348228135,1,1,0,0
348248190,1,1,0,0
348272688,1,1,0,0
348296469,1,1,0,0
348316201,1,1,0,0
348336362,1,1,0,0
348356342,1,1,0,0
348376319,1,1,0,0
348396319,1,1,0,0
348420332,1,1,0,0
348440330,1,1,0,0
348460334,1,1,0,0
348484363,1,1,0,0
348504523,1,1,0,0
348524723,1,1,0,0
348548356,1,1,0,0
348572378,1,1,0,0
348596496,1,1,0,0
